topic_id | votes | comments | date | bytes | title
702981 | 1 | 7 | 2026-05-27T19:45:20.957000 | 2674 | Why Are We Still Enumerating Primitives?
734018 | 1 | 0 | 2026-08-09T15:01:55.734000 | 2685 | The evaluation split is measurably harder than training — structural analysis of all 1,120 tasks
737594 | 1 | 12 | 2026-08-26T08:49:11.119000 | 2741 | Use dynamic Python library in Kaggle or use Docker from GitHub repository
740268 | 1 | 0 | 2026-09-08T21:01:43.461000 | 2238 | Rules clarification: OSAID base-model requirement vs. the incompatible-license carve-out (Section 2.5)
689423 | 0 | 0 | 2026-04-08T16:26:22.755000 | 445 | Submission scoring error
691202 | 0 | 9 | 2026-04-14T07:14:58.338000 | 1642 | is this normal ?
693074 | 0 | 2 | 2026-04-19T12:30:53.044000 | 2511 | '/kaggle/inference_outputs' does not exist.
694618 | 0 | 0 | 2026-04-25T21:26:52.410000 | 7945 | EGO-ARC: Embryonic Growth Approach (local ARC-AGI-1 sandbox, 9/50 -> 17/50)
696364 | 0 | 2 | 2026-05-02T00:35:55.589000 | 1072 | Double GPU Quota consomption
697831 | 0 | 0 | 2026-05-07T15:25:30.489000 | 653 | Can't submit notebook through kaggle CLI API
699858 | 0 | 8 | 2026-05-15T14:05:51.088000 | 3285 | What is the Public Score's denominator?
701528 | 0 | 1 | 2026-05-18T22:07:36.838000 | 1277 | Clarification on AI coding assistants, private code sharing, and no-internet runtime
703343 | 0 | 1 | 2026-05-30T04:21:56.246000 | 999 | Anyone else working on the ARC-AGI-3 interactive games (LS20 / Locksmith)?
704871 | 0 | 1 | 2026-06-06T22:49:30.608000 | 610 | Corrupted datasets
724073 | 0 | 1 | 2026-07-09T12:18:33.949000 | 1071 | Solution of the first competition task
729885 | 0 | 0 | 2026-07-27T02:58:04.360000 | 352 | Oops something went wrong
734068 | 0 | 0 | 2026-08-09T17:54:29.410000 | 3025 | ARC-AGI-1's train/eval gap was mild. ARC-AGI-2's is not - measured across both corpora
735044 | 0 | 2 | 2026-08-13T17:33:54.863000 | 643 | Where is the submit button and L4?
735545 | 0 | 1 | 2026-08-16T17:49:18.188000 | 438 | Solution 5545f144
737679 | 0 | 2 | 2026-08-26T18:55:14.182000 | 1566 | Rules clarification: hosted AI coding assistants
740422 | 0 | 6 | 2026-09-09T16:14:51.172000 | 1466 | clarification 
693826 | -1 | 7 | 2026-04-22T13:38:25.049000 | 1402 | finding teamate
695556 | -1 | 5 | 2026-04-29T19:32:10.645000 | 3883 | Beyond the NVARC Rehash: A Different Approach with TOPAS (Submitting Soon)
733217 | -1 | 0 | 2026-08-06T06:44:49.939000 | 1553 | ARC Prize 2026: Reasoning with LLMs vs. Program Synthesis
733930 | -3 | 5 | 2026-08-09T05:34:35.069000 | 1913 | Any plans to release the SFT recipe or data mixture behind qwen3_4b_grids15_sft139, or an updated checkpoint? And roughly how many synthetic puzzles went into training?
694676 | -4 | 11 | 2026-04-26T10:33:51.411000 | 2673 | To group nvbanana
694704 | -4 | 3 | 2026-04-26T13:11:41.270000 | 3544 | How to Improve Code ARC Prize Score from 0.9 to 30.22
740808 | -7 | 6 | 2026-09-11T12:02:16.084000 | 3686 | Copywriter & Psychology Researcher looking to unlock the Paper Track ($450k pool) for an active AGI-2 Team!
684761 | -8 | 7 | 2026-03-26T00:37:53.055000 | 2122 | 🎬Truth guard🚨🚨
